,4.5-1,4.5-2,4.5-3,7.5-1,7.5-2,7.5-3
OUT_01,5.226623111,8.166598612,3.634136382,0,0,0
OUT_02,0.93915884,0.408329931,0.857492854,0,0,0
OUT_03,57.37035525,50.51041241,69.74275214,0.122498979,0,0
OUT_04,5.634953042,6.655777869,3.593303389,0,0,0
OUT_05,5.594120049,0.93915884,0.53082891,93.87505104,95.83503471,97.10085749
OUT_06,0.571661903,0.449162924,0.204164965,0.571661903,0.857492854,0.734993875
OUT_07,0.204164965,0.040832993,0.244997958,0,0,0
OUT_08,0.612494896,0.163331972,0.571661903,0.040832993,0.040832993,0
OUT_09,1.347488771,1.388321764,2.245814618,0,0,0
OUT_10,2.123315639,1.020824826,1.919150674,0,0,0
OUT_11,1.143323806,0.53082891,1.06165782,0,0,0
OUT_12,0.040832993,0.204164965,0,0.081665986,0.081665986,0
OUT_13,16.41486321,26.99060841,14.49571254,0,0,0
OUT_14,0,0.081665986,0.040832993,0,0,0
OUT_15,2.164148632,1.551653736,0.53082891,5.104124132,3.144140465,2.164148632
OUT_16,0.244997958,0.163331972,0.122498979,0,0,0
OUT_17,0.081665986,0.285830951,0,0,0,0
OUT_18,0.163331972,0.449162924,0,0.081665986,0,0
OUT_19,0,0,0,0.122498979,0.040832993,0
OUT_20,0.040832993,0,0,0,0,0
OUT_21,0.081665986,0,0.204164965,0,0,0
